,name,average_clustering_coef,average_shortest_path_lenght,centrality_betweeness,centrality_closeness,centrality_eigenvector,average_degree,diameter,modularity_greedy
0,nsr29w_,0.7370188126403473,5.597345366713706,0.00013779359089778894,0.1826742225684446,0.0012571743884985374,10.370916501828209,13,30
0,nsr27w_,0.7267632028839411,7.468040532778778,0.00019238096822756802,0.13697072982902309,0.00042607788503012126,11.306129732623502,17,86
0,nsr25w_,0.7528326546595504,5.180417068296846,0.00012416219870790428,0.19722931221178486,0.001567669497299308,8.440557156009623,12,30
0,nsr26w_,0.7467154393700757,5.152542591557599,0.00012488474306209205,0.19907670031735458,0.0014711050216304538,8.43581030282982,11,73
0,nsr23w_,0.7405336031208756,6.031555109644937,0.0001626703019509529,0.16850207642961587,0.0007098045109753914,9.27203956939191,13,46
0,nsr31w_,0.7352362583690921,6.358339879071188,0.00018142339187645495,0.1596654993943909,0.0009391115793791034,11.198361377255646,14,36
0,nsr36w_,0.7475170709122012,5.375337950033059,0.0001453793843046564,0.1913668555385034,0.0016220006857464366,8.178284271380159,14,33
0,nsr40w_,0.7554122768870787,6.62153187880521,0.0001794411350486836,0.15345054093863733,0,6.975742100223428,13,49
0,nsr30w_,0.7385021085371022,6.196688661426831,0.00017358748910801811,0.16411117291427246,0.0008572448731415811,8.657937806873978,13,86
0,nsr35w_,0.7460668937074576,6.114632577931469,0.00015628174222908308,0.16638600574416212,0.0011620413373275567,8.304195056372025,12,38
0,nsr38w_,0.733230747306819,6.66293850785537,0.00019682116320919778,0.15249091508638937,0.0006347194179177302,10.874539514839785,14,33
0,nsr28w_,0.7404177383760889,5.519264050836424,0.00014857203139050706,0.1850013437862842,0.0011986203464427884,10.561867192636424,12,32
0,nsr34w_,0.7392410838255444,6.366273005824698,0.0001815813286578209,0.16088053344325193,0.000810615159006513,9.908238876670614,16,132
0,nsr42w_,0.7332818615195378,6.890775459866556,0.00022931120167646446,0.1477884396922638,0,10.88427854112335,16,30
0,nsr37w_,0.7436641310917663,7.010227701238304,0.0002156599699034133,0.14490480285469523,0.000764366588005285,8.188511355889634,15,70
0,nsr32w_,0.7601348433171351,5.272710621563358,0.00015081929479574056,0.1930481323503841,0.0013534926382996447,9.076097698715234,12,23
0,nsr41w_,0.7478790112145014,5.291261151665145,0.00015990688447104612,0.192993525407663,0.0016224473858111497,8.031820552947314,11,19
0,nsr53w_,0.7336542817617995,7.434489434589028,0.00022120009056993088,0.13640071130957845,0,9.72218211818088,16,50
0,nsr39w_,0.7419648524375477,6.389905012802374,0.00019531471998846954,0.159156881237819,0.0006321391828732784,8.666787448365824,15,25
0,nsr33w_,0.729099463727657,6.582386401210102,0.0002626387391771342,0.15434109174215044,0.0007694361701085916,9.977231029778427,14,55
0,nsr24w_,0.7399765123181677,7.209664667166041,0.00034852470489791484,0.1409143102003574,0.0006932363714214183,6.8096975138896685,16,27
0,nsr20w_,0.744230079756184,6.427716061003752,0.00014234018831962215,0.15794269090658158,0.0005486831094074579,8.988933759899302,13,28
0,nsr05w_,0.7529009575624696,5.30572183420482,0.00011203481042372295,0.19232844245928457,0.0013663433745674278,8.292137170213874,13,31
